,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
548,1,3,7,1,2,3.268
549,4,2,11,15,35,3.37
550,0,1,0,0,0,0.904
551,0,1,0,1,0,0.904
552,1,1,2,4,2,1.404
553,1,4,3,4,2,1.904
554,1,0,2,3,2,-1.842
555,0,1,0,3,0,-0.344
556,0,0,0,3,0,0.265
557,1,0,2,4,2,0.658
558,1,3,3,5,2,0.658
559,0,0,0,3,0,0.778
560,0,0,0,0,0,0.865
561,0,0,0,3,0,1.158
562,0,0,0,2,0,1.158
563,2,0,0,4,1,1.658
564,1,3,4,4,1,1.946
565,3,2,4,4,1,2.158
566,2,1,2,5,1,2.289
567,2,0,0,4,1,2.372
568,4,2,1,4,1,2.658
569,4,3,4,5,1,2.658
570,4,3,4,5,1,2.672
571,4,3,4,4,1,3.158
572,4,3,4,5,1,3.185
573,4,2,4,4,1,3.332
574,2,4,5,5,1,3.452
575,4,3,4,5,1,3.554
576,0,1,5,2,1,0.035
577,1,0,2,4,2,0.304
578,2,0,2,2,1,0.393
579,0,1,5,2,1,0.459
580,1,1,2,3,2,1.502
581,0,2,0,0,1,1.959
582,0,3,0,1,0,-0.368
583,0,4,5,3,1,0.234
584,1,4,2,4,2,0.43
585,0,3,0,2,0,0.526
586,0,3,2,2,0,0.526
587,3,5,6,4,1,0.647
588,0,4,5,3,1,0.662
589,2,5,6,3,1,0.695
590,0,4,6,3,1,0.852
591,1,3,3,4,4,0.868
592,0,4,5,3,1,0.919
593,0,4,6,3,1,0.951
594,2,5,6,3,1,0.977
595,1,4,4,4,1,1.026
596,2,3,2,3,1,1.092
597,3,5,6,3,1,1.471
598,3,5,6,4,1,1.796
599,3,5,3,3,1,2.026
600,0,4,6,3,1,2.111
601,1,3,2,5,2,2.123
602,2,5,6,3,1,2.234
603,0,5,2,4,1,4.795
604,0,3,0,2,0,0.526
605,1,4,3,4,2,1.904
606,0,3,2,1,1,2.0
607,0,3,2,1,0,2.459
608,1,2,2,1,0,-0.058
609,0,3,2,1,0,0.239
610,2,1,3,2,0,0.563
611,4,2,12,15,35,0.67
612,1,2,2,1,1,0.803
613,1,3,2,1,0,2.038
614,2,4,2,0,1,5.831
615,0,3,2,1,1,2.0
616,1,3,3,3,5,2.861
617,1,0,1,4,0,0.072
618,1,2,0,3,0,1.697
619,1,1,0,3,0,1.956
620,3,2,0,1,0,2.075
621,2,2,0,2,0,2.33
622,3,2,0,2,0,3.5
623,3,3,4,5,3,3.511
624,2,1,0,1,0,-0.213
625,2,2,1,2,0,-0.106
626,2,4,1,2,0,0.034
627,6,1,11,15,35,0.044
628,3,1,0,1,0,0.192
629,2,2,0,3,0,0.227
630,3,2,1,2,0,0.415
631,2,1,3,2,0,0.563
632,3,1,1,1,0,0.619
633,3,2,8,2,1,0.887
634,2,2,1,1,0,0.949
635,2,3,1,3,1,1.158
636,3,2,2,3,2,1.237
637,2,0,1,1,0,1.242
638,2,3,0,3,1,1.954
639,3,2,1,3,0,3.043
640,4,4,1,3,1,3.23
641,3,3,3,4,1,4.77
642,4,3,1,3,1,4.884
643,4,3,1,4,1,5.06
644,4,3,1,2,1,5.331
645,1,0,0,0,0,-0.542
646,1,1,1,0,0,-0.465
647,1,0,0,0,0,-0.27
648,1,1,1,0,1,0.535
649,1,2,1,2,1,0.828
650,1,1,1,0,0,0.904
651,1,2,1,2,1,0.966
652,1,1,1,0,0,1.035
653,1,1,0,0,0,1.111
654,1,2,0,2,1,1.33
655,2,2,0,1,0,1.611
656,1,4,1,1,0,1.633
657,3,1,0,2,0,1.733
658,5,0,11,14,35,2.573
659,2,0,0,2,0,0.937
660,1,1,1,1,0,0.979
661,1,0,0,1,0,1.422
662,1,4,0,3,2,1.979
663,5,1,11,16,35,2.017
664,2,0,0,1,0,2.479
665,2,2,0,1,0,2.479
666,2,1,1,2,1,2.489
667,1,0,0,3,1,3.186
668,0,2,1,3,0,3.438
669,2,2,2,2,2,0.236
670,5,3,12,18,35,1.997
671,1,4,1,3,1,3.959
672,2,0,1,1,0,0.196
673,0,2,2,2,0,0.404
674,4,1,12,15,35,0.92
675,1,2,3,3,2,1.124
676,1,1,1,1,0,1.439
677,1,2,0,0,0,1.292
678,1,1,0,1,0,1.904
679,1,3,0,1,0,0.22
680,2,3,0,2,0,0.677
681,1,3,0,2,0,1.601
682,2,5,0,3,0,3.463
683,1,3,1,1,1,0.101
684,1,2,0,1,0,0.268
685,1,2,0,0,0,0.276
686,1,3,0,1,1,0.283
687,2,2,2,1,2,0.595
688,0,4,0,0,0,0.617
689,1,3,0,1,0,1.043
690,1,5,0,1,0,1.141
691,2,3,0,1,0,1.304
692,1,2,0,2,1,1.325
693,1,4,0,2,0,1.405
694,1,4,1,1,0,1.41
695,2,2,0,1,0,1.557
696,2,3,0,1,0,1.668
697,1,4,0,1,0,1.825
698,1,4,1,1,1,2.032
699,3,4,0,2,0,2.213
700,1,4,1,2,0,2.228
701,1,6,0,1,0,2.907
702,0,4,0,0,0,0.456
703,2,2,2,1,2,0.513
704,1,1,0,2,0,0.626
705,1,3,1,1,1,0.792
706,2,2,2,1,2,1.22
707,1,2,0,1,0,1.326
708,1,3,0,1,1,1.5
709,2,2,0,1,0,1.611
710,1,2,0,1,0,1.619
711,1,3,0,1,1,1.708
712,2,2,0,1,0,1.846
713,2,5,0,2,0,1.94
714,1,3,0,1,0,2.208
715,1,1,0,2,0,2.242
716,2,2,0,1,0,2.479
717,1,3,0,1,0,2.708
718,1,3,0,1,0,3.022
719,3,7,1,5,2,5.36
720,2,2,1,1,0,1.86
721,2,2,0,1,0,1.941
722,2,2,0,1,0,1.977
723,4,3,4,4,1,3.158
724,2,1,1,1,0,0.207
